framework,measurer,prompt_size,output_size,iterations,average,max,min,std,gpu_usage
together,throughput,17,512,10.0,100.53917633512667,118.1926636839694,47.98252510450295,336.91230133444236,none
together,throughput,17,none,10.0,86.10962220226337,108.36669570072334,71.302396862755,92.04669342087159,none
together,throughput,191,128,10.0,89.72558471492195,103.3233172887062,68.13168014326169,92.3962362363298,none
together,throughput,191,512,10.0,71.36171865294436,88.01596867830347,53.022756202577845,75.21361707846842,none
together,throughput,191,none,10.0,77.74115735681046,97.18391100191523,61.952490215271084,114.71207790635803,none
together,throughput,660,128,10.0,80.61504305662389,97.51306761840257,69.962872948556,81.68465669054142,none
together,throughput,660,512,10.0,63.11863922403044,80.53769049915545,17.823763382058164,273.50866881438026,none
together,throughput,660,none,10.0,72.47195679208687,83.08888470736878,53.701800597774046,57.00920227418726,none
together,tpot,17,128,10.0,0.01309852672092975,0.017365993418610205,0.010656674077526,4.906986313469461e-06,none
together,tpot,17,512,10.0,0.011069391591116319,0.02190703921411872,0.009609198981777306,1.3086515734516276e-05,none
together,tpot,191,128,10.0,0.012536804133333487,0.01352006479069943,0.011022233155045804,8.807837729994741e-07,none
together,tpot,191,512,10.0,0.01098490372326243,0.011675605955974359,0.010241532943402501,1.9862339902687372e-07,none
together,tpot,660,128,10.0,0.012717456458139088,0.016432382279064288,0.011151132969002513,2.1018782238680386e-06,none
together,tpot,660,512,10.0,0.010398695702136649,0.010951330402126085,0.009899934555162668,1.526231706634004e-07,none
together,ttft,17,none,10.0,1.369219304499984,3.5285990029997265,0.2983537059999435,1.7238037183643222,none
together,ttft,191,none,10.0,1.3197165790000327,3.425493895000727,0.2968307309993179,1.3901952052557436,none
together,ttft,660,none,10.0,1.4312593465000645,3.669090600000345,0.3122831219998261,1.7580817019507236,none
vllm,throughput,17,128,10.0,0.018788248232806382,0.018903106906236644,0.018708872804666044,2.9749964703115207e-09,11.40824031829834
vllm,throughput,17,512,10.0,0.0188027900138664,0.018923673828126653,0.01866948303124616,6.475439260945152e-09,11.40824031829834
vllm,throughput,17,none,10.0,0.018786938053125368,0.018870744484374313,0.01873537427344729,2.2172102359875866e-09,11.40824031829834
vllm,throughput,191,128,10.0,0.020619417903134263,0.02071629178129797,0.020494309171908753,4.782514437139764e-09,11.423590660095215
vllm,throughput,191,512,10.0,0.02062326696640184,0.020803964679657838,0.0204976647422086,7.017301442991348e-09,11.423590660095215
vllm,throughput,191,none,10.0,0.02058936518593555,0.020655979414058834,0.020461684257810475,2.9749025517654166e-09,11.423590660095215
vllm,throughput,660,128,10.0,0.024210331657019423,0.024411893679712193,0.023669225742139588,4.83480612567248e-08,11.466698169708252
vllm,throughput,660,512,10.0,0.02420704617499041,0.024442642382780377,0.023732332812471668,3.7319014628750204e-08,11.466698169708252
vllm,throughput,660,none,10.0,0.024155892080469244,0.02438064081250957,0.02362800486719152,5.2606010188572905e-08,11.466698169708252
vllm,tpot,17,128,10.0,0.018658635553126145,0.01873823921874873,0.018564252835943762,2.174373628494927e-09,11.40824031829834
vllm,tpot,17,512,10.0,0.018872130371484275,0.018973311613279975,0.018815051214843947,2.6434267976577294e-09,11.40824031829834
vllm,tpot,191,128,10.0,0.020431369340622042,0.020524433804666842,0.020282666164064267,4.620206311785152e-09,11.423590660095215
vllm,tpot,191,512,10.0,0.019470346622656363,0.01959965423828436,0.019378859031249362,4.4767259930785345e-09,11.423590660095215
vllm,tpot,660,128,10.0,0.02417150089999325,0.02433961835939158,0.023972643539053706,1.7577272949832317e-08,11.466698169708252
vllm,tpot,660,512,10.0,0.020552883416990398,0.020686656835934514,0.020463341222651366,5.622111537907808e-09,11.466698169708252
vllm,ttft,17,none,10.0,0.08220971339987955,0.09380999999939377,0.07738267300010193,1.7273697640169923e-05,11.40824031829834
vllm,ttft,191,none,10.0,0.23179984709986456,0.24106461699921056,0.21821697399991535,3.520749393167697e-05,11.423590660095215
vllm,ttft,660,none,10.0,0.5981715013001121,0.6088244960001248,0.579916970999875,8.851055334831342e-05,11.466698169708252
